GCF_000018865.1	Chloroflexus aurantiacus J-10-fl
GCF_900100075.1	Chryseobacterium jejuense
GCF_003815775.1	Chryseobacterium joostei
GCF_025971945.1	Chryseobacterium kimseyorum
GCF_001045435.1	Chryseobacterium koreense CCUG 49689
GCF_001563495.1	Chryseobacterium kwangjuense
GCF_003815875.1	Chryseobacterium lactis
GCF_003336205.1	Chryseobacterium lacus
GCF_019970085.1	Chryseobacterium lathyri
GCF_900114875.1	Chryseobacterium limigenitum
GCF_026460945.1	Chryseobacterium luquanense
GCF_000737785.1	Chryseobacterium luteum
GCF_014623485.1	Chryseobacterium manosquense
GCF_031324065.1	Chryseobacterium metallicongregator
GCF_002177115.1	Chryseobacterium mucoviscidosis
GCF_020905315.1	Chryseobacterium muglaense
GCF_006175945.1	Chryseobacterium mulctrae
GCF_900637665.1	Chryseobacterium nakagawai
GCF_003710065.1	Chryseobacterium nematophagum
GCF_023195755.1	Chryseobacterium nepalense
GCF_900115055.1	Chryseobacterium oleae
GCF_002899895.1	Chryseobacterium oncorhynchi
GCF_900129755.1	Chryseobacterium oranimense
GCF_025971925.1	Chryseobacterium oryctis
GCF_022811665.1	Chryseobacterium oryzae
GCF_025403485.1	Chryseobacterium paludis
GCF_008274625.1	Chryseobacterium panacisoli
GCF_016595215.1	Chryseobacterium paridis
GCF_003385515.1	Chryseobacterium pennae
GCF_003384725.1	Chryseobacterium pennipullorum
GCF_900169075.1	Chryseobacterium phocaeense
GCF_002899825.2	Chryseobacterium phosphatilyticum
GCF_002285635.2	Chryseobacterium piperi
GCF_900156685.1	Chryseobacterium piscicola
GCF_003385415.1	Chryseobacterium piscium
GCF_900142445.1	Chryseobacterium polytrichastri
GCF_000282115.1	Chryseobacterium populi
GCF_902728265.1	Chryseobacterium potabilaquae
GCF_900182825.1	Chryseobacterium profundimaris
GCF_046591535.1	Chryseobacterium proteolyticum
GCF_025153485.1	Chryseobacterium pyrolae
GCF_900182655.1	Chryseobacterium rhizoplanae
GCF_003385455.1	Chryseobacterium rhizosphaerae
GCF_022968825.1	Chryseobacterium salipaludis
GCF_004359195.1	Chryseobacterium salivictor
GCF_035819015.1	Chryseobacterium salviniae
GCF_903166575.1	Chryseobacterium schmidteae
GCF_900143185.1	Chryseobacterium scophthalmum
GCF_008386505.1	Chryseobacterium sediminis
GCF_003815615.1	Chryseobacterium shandongense
GCF_900156575.1	Chryseobacterium shigense
GCF_900100115.1	Chryseobacterium soldanellicola
GCF_000737705.1	Chryseobacterium soli
GCF_022811685.1	Chryseobacterium suipulveris
GCF_900099685.1	Chryseobacterium taeanense
GCF_016735585.2	Chryseobacterium tagetis
GCF_900109935.1	Chryseobacterium taichungense
GCF_900683625.1	Chryseobacterium taihuense
GCF_000813825.1	Chryseobacterium taiwanense
GCF_900129385.1	Chryseobacterium takakiae
GCF_900187185.1	Chryseobacterium taklimakanense
GCF_046000455.1	Chryseobacterium terrae
GCF_900078205.2	Chryseobacterium timonianum
GCF_041224435.1	Chryseobacterium tongliaoense
GCF_042649085.1	Chryseobacterium tructae
GCF_021010565.1	Chryseobacterium turcicum
GCF_900156735.1	Chryseobacterium ureilyticum
GCF_030518295.1	Chryseobacterium urinae
GCF_009602705.1	Chryseobacterium vaccae
GCF_031454475.1	Chryseobacterium vietnamense
GCF_002899945.2	Chryseobacterium viscerum
GCF_000737765.1	Chryseobacterium vrystaatense
GCF_900111495.1	Chryseobacterium wanjuense
GCF_042665485.1	Chryseobacterium zhengzhouense
GCF_016735595.1	Chryseolinea lacunae
GCF_900129725.1	Chryseolinea serpens
GCF_003589925.1	Chryseolinea soli
GCF_043182735.1	Chryseomicrobium aureum
GCF_002798305.1	Chryseomicrobium excrementi
GCF_042649045.1	Chryseomicrobium palamuruense
GCF_018598225.1	Chryseosolibacter histidini
GCF_018598585.1	Chryseosolibacter indicus
GCF_003990915.1	Chryseotalea sanaruensis
GCF_000469585.1	Chrysiogenes arsenatis DSM 11915
GCF_029891735.1	Chrysosporum bergii ANA360D
GCF_004341915.1	Chthoniobacter flavus
GCF_013839445.1	Chthonobacter albigriseus
GCF_013839525.1	Chthonobacter rhizosphaerae
GCF_000427095.1	Chthonomonas calidirosea T49
GCF_042651785.1	Chungangia koreensis
GCF_048159625.1	Ciceribacter azotifigens
GCF_004137355.1	Ciceribacter ferrooxidans
GCF_003337715.1	Ciceribacter lividus
GCF_007992095.1	Ciceribacter naphthalenivorans
GCF_000518785.1	Ciceribacter selenitireducens ATCC BAA-1503
GCF_024055605.1	Ciceribacter sichuanensis
GCF_014126615.1	Ciceribacter thiooxidans
GCF_019039035.1	Citreicoccus inhibens
GCF_900107235.1	Citreimonas salinaria
GCF_039528175.1	Citricoccus alkalitolerans
GCF_003386075.1	Citricoccus muralis
GCF_047305825.1	Citricoccus nitrophenolicus
GCF_042433045.1	Citricoccus parietis
GCF_014645315.1	Citricoccus zhacaiensis
GCF_000020725.1	Citrifermentans bemidjiense Bem
GCF_014218275.1	Citrifermentans bremense
GCF_020099335.1	Citrobacter amalonaticus
GCF_004353845.1	Citrobacter arsenatis
GCF_042658825.1	Citrobacter bitternis
GCF_009648935.1	Citrobacter braakii
GCF_016893685.1	Citrobacter cronae
GCF_030487725.1	Citrobacter enshiensis
GCF_037482245.1	Citrobacter europaeus
GCF_019048065.1	Citrobacter farmeri
GCF_904859905.1	Citrobacter freundii
GCF_013337685.1	Citrobacter gillenii
GCF_000018045.1	Citrobacter koseri ATCC BAA-895
GCF_041320245.1	Citrobacter meridianamericanus
GCF_004801125.1	Citrobacter murliniae
GCF_019047765.1	Citrobacter pasteurii
GCF_023374935.1	Citrobacter portucalensis
GCF_021278985.1	Citrobacter rodentium NBRC 105723 = DSM 16636
GCF_018128425.1	Citrobacter sedlakii
GCF_041807075.1	Citrobacter telavivensis
GCF_004684345.1	Citrobacter tructae
GCF_008693645.1	Citrobacter werkmanii
GCF_030294585.1	Citrobacter youngae
GCF_000176355.1	Citromicrobium bathyomarinum JL354
GCF_035481615.1	Citroniella saccharovorans
GCF_030296775.1	Claveliimonas bilis
GCF_014982975.1	Claveliimonas monacensis
GCF_021952865.1	Clavibacter californiensis
GCF_011801245.1	Clavibacter capsici
GCF_003576405.1	Clavibacter lycopersici
GCF_021216655.1	Clavibacter michiganensis
GCF_000355695.1	Clavibacter nebraskensis NCPPB 2581
GCF_021922925.1	Clavibacter phaseoli
GCF_021919125.1	Clavibacter seminis
GCF_000069225.1	Clavibacter sepedonicus
GCF_002240635.1	Clavibacter tessellarius
GCF_014775655.1	Clavibacter zhangzhiyongii
GCF_000585335.1	Cloacibacillus evryensis DSM 19522
GCF_001701045.1	Cloacibacillus porcorum
GCF_907163105.1	Cloacibacterium caeni
GCF_003860565.1	Cloacibacterium normanense
GCF_014645495.1	Cloacibacterium rupense
GCF_000620125.1	Clostridiisalibacter paucivorans DSM 22131
GCF_018885085.1	Clostridioides difficile
GCF_001042715.1	Clostridium aceticum
GCF_001758365.1	Clostridium acetireducens DSM 10703
GCF_000218855.1	Clostridium acetobutylicum DSM 1731
GCF_900176305.1	Clostridium acidisoli DSM 12555
GCF_016316925.1	Clostridium aciditolerans
GCF_026735135.1	Clostridium aestuarii
GCF_000686725.1	Clostridium akagii DSM 12554
GCF_000703125.1	Clostridium algidicarnis
GCF_017874415.1	Clostridium algifaecis
GCF_020443705.1	Clostridium algoriphilum
GCF_017255415.1	Clostridium aminobutyricum
GCF_900142075.1	Clostridium amylolyticum
GCF_031344075.1	Clostridium aquiflavi
GCF_000246895.1	Clostridium arbusti SL206
GCF_002074155.1	Clostridium argentinense
GCF_020908015.1	Clostridium aromativorans
GCF_001484725.1	Clostridium autoethanogenum DSM 10061
GCF_001991075.2	Clostridium baratii
GCF_018223745.1	Clostridium beijerinckii
GCF_033342255.1	Clostridium boliviensis
GCF_000577895.1	Clostridium bornimense
GCF_000063585.1	Clostridium botulinum A str. ATCC 3502
GCF_020176155.1	Clostridium bowmanii
GCF_026738875.1	Clostridium brassicae
GCF_014131795.1	Clostridium butyricum
GCF_020911725.1	Clostridium cadaveris
GCF_900290265.1	Clostridium cagae
GCF_023806125.1	Clostridium caldaquaticum
GCF_001038625.1	Clostridium carboxidivorans P7
GCF_046127635.1	Clostridium caseinilyticum
GCF_900141845.1	Clostridium cavendishii DSM 21758
GCF_021412605.1	Clostridium celatum
GCF_000145275.1	Clostridium cellulovorans 743B
GCF_002327205.1	Clostridium chauvoei
GCF_003575225.1	Clostridium chromiireducens
GCF_015234215.1	Clostridium chrysemydis
GCF_014836335.1	Clostridium cibarium
GCF_900187165.1	Clostridium cochlearium
GCF_001593985.1	Clostridium colicanis DSM 13634
GCF_900130005.1	Clostridium collagenovorans DSM 3089
GCF_002749945.1	Clostridium combesii
GCF_000821305.1	Clostridium culturomicium
GCF_004353185.1	Clostridium cuniculi
GCF_001047375.1	Clostridium cylindrosporum DSM 605
GCF_008705175.1	Clostridium diolis
GCF_001405015.1	Clostridium disporicum
GCF_003096175.1	Clostridium drakei
GCF_030585465.1	Clostridium estertheticum
GCF_014297275.1	Clostridium facile
GCF_014836835.1	Clostridium faecium
GCF_900129365.1	Clostridium fallax
GCF_002006355.2	Clostridium felsineum DSM 794
GCF_003600355.1	Clostridium fermenticellae
GCF_027698965.1	Clostridium fessum
GCF_024341905.1	Clostridium folliculivorans
GCF_002080475.1	Clostridium formicaceticum
GCF_900111985.1	Clostridium frigidicarnis
GCF_036541405.1	Clostridium frigoriphilum
GCF_018861865.1	Clostridium frigoris
GCF_014193895.1	Clostridium fungisolvens
GCF_014836325.1	Clostridium gallinarum
GCF_026735165.1	Clostridium ganghwense
GCF_017348895.1	Clostridium gasigenes
GCF_019977655.1	Clostridium gelidum
GCF_900129965.1	Clostridium grantii DSM 8605
GCF_021043395.1	Clostridium guangxiense
GCF_000724225.2	Clostridium haemolyticum NCTC 9693
GCF_014287825.1	Clostridium hominis
GCF_900113195.1	Clostridium homopropionicum
GCF_000686705.1	Clostridium hydrogeniformans DSM 21757
GCF_021432385.1	Clostridium hydrogenum
GCF_000612845.1	Clostridium ihumii AP5
GCF_035905475.1	Clostridium intestinale
GCF_002285495.1	Clostridium isatidis
GCF_000010265.1	Clostridium kluyveri NBRC 12016
GCF_018861735.1	Clostridium lacusfryxellense
GCF_033043255.1	Clostridium lamae
GCF_041224415.1	Clostridium lapidicellarium
GCF_014287815.1	Clostridium lentum
GCF_002995785.1	Clostridium liquoris
GCF_000143685.1	Clostridium ljungdahlii DSM 13528
GCF_000619945.1	Clostridium lundense DSM 17049
GCF_002995845.1	Clostridium luticellarii
GCF_900129955.1	Clostridium magnum DSM 2767
GCF_039521365.1	Clostridium malenominatum
GCF_004015185.1	Clostridium manihotivorum
GCF_001403635.1	Clostridium massiliamazoniense
GCF_900176615.1	Clostridium massiliodielmoense
GCF_900091705.1	Clostridium mediterraneense
GCF_900176635.1	Clostridium merdae
GCF_900240385.1	Clostridium minihomine
GCF_018918285.1	Clostridium mobile
GCF_017873235.1	Clostridium moniliforme
GCF_041205085.1	Clostridium moutaii
GCF_012926525.1	Clostridium muellerianum
GCF_900465025.1	Clostridium neonatale
GCF_045310695.1	Clostridium neuense
GCF_001243045.1	Clostridium niameyense
GCF_900086595.1	Clostridium nigeriense
GCF_039521545.1	Clostridium nitritogenes
GCF_003614235.1	Clostridium novyi
GCF_039521385.1	Clostridium oceanicum
GCF_026012015.1	Clostridium omnivorum
GCF_002029235.1	Clostridium oryzae
GCF_000424025.1	Clostridium paraputrificum AGR2156
GCF_016765615.1	Clostridium paridis
GCF_016908015.1	Clostridium pascui
GCF_001856645.1	Clostridium pasteurianum DSM 525 = ATCC 6013
GCF_900205925.1	Clostridium peptidivorans
GCF_016027375.1	Clostridium perfringens
GCF_001244495.1	Clostridium phoceensis
GCF_018332455.1	Clostridium polyendosporum
GCF_000820705.1	Clostridium polynesiense
GCF_009696375.1	Clostridium porci
GCF_004011155.1	Clostridium prolinivorans
GCF_018861705.1	Clostridium psychrophilum
GCF_017874425.1	Clostridium punense
GCF_002006345.1	Clostridium puniceum
GCF_900461105.1	Clostridium putrefaciens
GCF_001675165.1	Clostridium ragsdalei P11
GCF_900626095.1	Clostridium rectalis
GCF_016765585.1	Clostridium rhizosphaerae
GCF_000473995.1	Clostridium saccharobutylicum DSM 13864
GCF_000340885.1	Clostridium saccharoperbutylacetonicum N1-4(HMT)
GCF_019753795.1	Clostridium sardiniense
GCF_039521405.1	Clostridium sartagoforme
GCF_000577815.1	Clostridium saudiense
GCF_000968375.1	Clostridium scatologenes
GCF_050402865.1	Clostridium sediminicola
GCF_014287925.1	Clostridium segne
GCF_018916625.1	Clostridium senegalense
GCF_003606265.1	Clostridium septicum
GCF_018919175.1	Clostridium simiarum
GCF_000973705.1	Clostridium sporogenes
GCF_039521425.1	Clostridium subterminale
GCF_000732635.1	Clostridium sulfidigenes
GCF_023656515.1	Clostridium swellfunianum
GCF_001735765.2	Clostridium taeniosporum
GCF_026650945.1	Clostridium tagluense
GCF_033659955.1	Clostridium tanneri
GCF_009295725.1	Clostridium tarantellae
GCF_001594005.1	Clostridium tepidiprofundi DSM 19306
GCF_002008345.1	Clostridium tepidum
GCF_039521505.1	Clostridium tertium
GCF_000007625.1	Clostridium tetani E88
GCF_013296705.1	Clostridium tetanomorphum
GCF_019207025.1	Clostridium thailandense
GCF_006351925.1	Clostridium thermarum
GCF_000371465.1	Clostridium thermobutyricum
GCF_002995795.1	Clostridium thermopalmarium DSM 5974
GCF_002896855.1	Clostridium thermosuccinogenes
GCF_900626075.1	Clostridium transplantifaecale
GCF_000300195.1	Clostridium tunisiense TJ
GCF_001642655.1	Clostridium tyrobutyricum
GCF_900112485.1	Clostridium uliginosum
GCF_002995745.1	Clostridium vincentii
GCF_015351765.1	Clostridium vitabionis
GCF_019431045.1	Clostridium weizhouense
GCF_016595795.1	Clostridium yunnanense
GCF_017312485.1	Clostridium zeae
GCF_900129015.1	Cnuella takakiae
GCF_002096055.1	Cnuibacter physcomitrellae
GCF_032923285.1	Cobetia amphilecti
GCF_007786215.1	Cobetia crustatorum
GCF_001720485.1	Cobetia marina
GCF_001637325.1	Cochleicola gelatinilyticus
GCF_011326755.1	Cochlodiniinecator piscidefendens
GCF_004339015.1	Cocleimonas flava
GCF_003316845.1	Cognataquiflexum aquatile
GCF_022538055.1	Cognataquiflexum nitidum
GCF_022538115.1	Cognataquiflexum rubidum
GCF_009800965.1	Cognatazoarcus halotolerans
GCF_002104435.1	Cognaticolwellia aestuarii
GCF_002076895.1	Cognaticolwellia beringensis
GCF_002104475.1	Cognaticolwellia mytili
GCF_006476065.1	Cognatiluteimonas lumbrici
GCF_009792795.1	Cognatiluteimonas profundi
GCF_022808325.1	Cognatiluteimonas sedimenti
GCF_011320095.1	Cognatiluteimonas telluris
GCF_003416885.1	Cognatiluteimonas weifangensis
GCF_014652095.1	Cognatilysobacter bugurensis
GCF_008274655.1	Cognatilysobacter lacus
GCF_004359965.1	Cognatilysobacter segetis
GCF_003586305.1	Cognatilysobacter tabacisoli
GCF_004361065.1	Cognatilysobacter terrigena
GCF_014651995.1	Cognatilysobacter xinjiangensis
GCF_001458235.1	Cognatishimia activa
GCF_037478305.1	Cognatishimia coralii
GCF_900129685.1	Cognatishimia maritima
GCF_004804355.1	Cognatitamlana onchidii
GCF_900109295.1	Cognatiyoonia koreensis
GCF_900129845.1	Cognatiyoonia sediminum
GCF_002866925.1	Cohaesibacter celericrescens
GCF_900215605.1	Cohaesibacter gelatinilyticus
GCF_003574655.1	Cohaesibacter haloalkalitolerans
GCF_003324485.1	Cohaesibacter intestini
GCF_963665895.1	Cohaesibacter marisflavi
GCF_004295585.1	Cohnella abietis
GCF_016937515.1	Cohnella algarum
GCF_042651945.1	Cohnella boryungensis
GCF_029360585.1	Cohnella caldifontis
GCF_003713065.1	Cohnella candidum
GCF_042431195.1	Cohnella cellulosilytica
GCF_014107495.1	Cohnella cholangitidis
GCF_003628305.1	Cohnella endophytica
GCF_042656265.1	Cohnella faecalis
GCF_004801405.1	Cohnella fermenti
GCF_029525555.1	Cohnella ginsengisoli
GCF_030014955.1	Cohnella hashimotonis
GCF_012849095.1	Cohnella herbarum
GCF_042654645.1	Cohnella hongkongensis
GCF_000829465.1	Cohnella kolymensis
GCF_000378425.1	Cohnella laeviribosi DSM 21336
GCF_014212015.1	Cohnella lubricantis
GCF_004564235.1	Cohnella luojiensis
GCF_003386205.1	Cohnella lupini
GCF_900169535.1	Cohnella massiliensis
GCF_022352055.1	Cohnella mopanensis
GCF_014212125.1	Cohnella nanjingensis
GCF_000515335.1	Cohnella panacarvi Gsoil 349
GCF_003386235.1	Cohnella phaseoli
GCF_005049045.1	Cohnella pontilimi
GCF_948329515.1	Cohnella rhizoplanae
GCF_029525575.1	Cohnella rhizosphaerae
GCF_021190915.1	Cohnella silvisoli
GCF_042655525.1	Cohnella soli
GCF_042655365.1	Cohnella suwonensis
GCF_007786475.1	Cohnella terricola
GCF_017874075.1	Cohnella thailandensis
GCF_000429825.1	Cohnella thermotolerans DSM 17683
GCF_014212175.1	Cohnella xylanilytica
GCF_042655785.1	Cohnella yongneupensis
GCF_014212055.1	Cohnella zeiphila
GCF_000155555.1	Coleofasciculus chthonoplastes PCC 7420
GCF_900095855.1	Colibacter massiliensis
GCF_023705585.1	Collibacillus ludicampi
GCF_018304965.1	Collimonas antrihumi
GCF_001584205.1	Collimonas arenae
GCF_001584145.1	Collimonas fungivorans
GCF_018304945.1	Collimonas humicola
GCF_001584225.1	Collimonas pratensis
GCF_038896935.1	Collimonas rhizosphaerae
GCF_018305005.1	Collimonas silvisoli
GCF_012844445.1	Collinsella acetigenes
GCF_010509075.1	Collinsella aerofaciens ATCC 25986
GCF_900155365.1	Collinsella bouchesdurhonensis
GCF_030385545.1	Collinsella ihumii
GCF_902501455.1	Collinsella intestinalis
GCF_900119895.1	Collinsella phocaeensis
GCF_900199705.1	Collinsella provencensis
GCF_025149625.1	Collinsella stercoris
GCF_000225705.1	Collinsella tanakaei YIT 12063
GCF_019795105.1	Collinsella ureilytica
GCF_900176655.1	Collinsella vaginalis
GCF_039523295.1	Colwellia asteriadis
GCF_002104455.1	Colwellia chukchiensis
GCF_007954275.1	Colwellia demingiae
GCF_002843355.2	Colwellia echini
GCF_007954355.1	Colwellia hornerae
GCF_002207865.1	Colwellia marinimaniae
GCF_022669015.1	Colwellia maritima
GCF_000378625.1	Colwellia piezophila ATCC BAA-637
GCF_002104515.1	Colwellia polaris
GCF_005885605.1	Colwellia ponticola
GCF_000012325.1	Colwellia psychrerythraea 34H
GCF_013363755.1	Comamonas antarctica
GCF_018064205.1	Comamonas aquatica
GCF_965139575.1	Comamonas aquatilis
GCF_014836675.1	Comamonas avium
GCF_000484635.1	Comamonas badia DSM 17552
GCF_018292285.1	Comamonas brasiliensis
GCF_000429845.1	Comamonas composti DSM 21721
GCF_042654745.1	Comamonas denitrificans
GCF_023634805.2	Comamonas endophytica
GCF_039538025.1	Comamonas faecalis
GCF_007954405.1	Comamonas flocculans
GCF_019186805.1	Comamonas fluminis
GCF_000739995.1	Comamonas granuli NBRC 101663
GCF_041079535.1	Comamonas guangdongensis
GCF_030162935.1	Comamonas halotolerans
GCF_030162955.1	Comamonas jiangduensis
GCF_002056725.1	Comamonas kerstersii
GCF_021026195.1	Comamonas koreensis
GCF_042654765.1	Comamonas nitrativorans
GCF_020080045.1	Comamonas odontotermitis
GCF_014109725.1	Comamonas piscis
GCF_030064165.1	Comamonas resistens
GCF_041107495.1	Comamonas sediminis
GCF_002158865.1	Comamonas serinivorans
GCF_025309455.1	Comamonas squillarum
GCF_012844455.2	Comamonas suwonensis
GCF_001544075.1	Comamonas terrae
GCF_006740045.1	Comamonas terrigena NBRC 13299
GCF_016599875.1	Comamonas testosteroni
GCF_020886175.1	Comamonas thiooxydans
GCF_043359985.1	Comamonas trifloxystrobinivorans
GCF_947179105.1	Commensalibacter communis
GCF_000231445.1	Commensalibacter intestini A911
GCF_003691365.1	Commensalibacter melissae
GCF_029953305.1	Commensalibacter nepenthis
GCF_029953265.1	Commensalibacter oyaizuii
GCF_002849895.1	Companilactobacillus alimentarius DSM 20249
GCF_001971585.1	Companilactobacillus allii
GCF_003946605.1	Companilactobacillus baiquanensis
GCF_002179915.1	Companilactobacillus bobalius
GCF_001951175.1	Companilactobacillus crustorum
GCF_002706745.1	Companilactobacillus farciminis KCTC 3681 = DSM 20184
GCF_003573535.1	Companilactobacillus formosensis
GCF_003946325.1	Companilactobacillus furfuricola
GCF_006007945.1	Companilactobacillus futsaii
GCF_001050475.1	Companilactobacillus ginsenosidimutans
GCF_009600995.1	Companilactobacillus halodurans
GCF_000831645.3	Companilactobacillus heilongjiangensis
GCF_005404815.1	Companilactobacillus huachuanensis
GCF_003946555.1	Companilactobacillus hulinensis
GCF_003946015.1	Companilactobacillus insicii
GCF_003946575.1	Companilactobacillus jidongensis
GCF_003946625.1	Companilactobacillus kedongensis
GCF_003946205.1	Companilactobacillus keshanensis
GCF_001438805.1	Companilactobacillus kimchiensis
GCF_001435445.1	Companilactobacillus kimchii DSM 13961 = JCM 10707
GCF_004117915.1	Companilactobacillus metriopterae
GCF_007992055.1	Companilactobacillus mindensis
GCF_003946505.1	Companilactobacillus mishanensis
GCF_036246245.1	Companilactobacillus muriivasis
GCF_040688005.1	Companilactobacillus musae
GCF_007991935.1	Companilactobacillus nantensis
GCF_001592065.1	Companilactobacillus nodensis DSM 19682 = JCM 14932 = NBRC 107160
GCF_002872255.1	Companilactobacillus nuruki
GCF_014058425.1	Companilactobacillus pabuli
GCF_963227125.1	Companilactobacillus paralimentarius
GCF_004745525.1	Companilactobacillus suantsaicola
GCF_001434665.1	Companilactobacillus tucceti DSM 20183
GCF_001434295.1	Companilactobacillus versmoldensis DSM 14857 = KCTC 3814
GCF_003606365.2	Companilactobacillus zhachilii
GCF_003946515.1	Companilactobacillus zhongbaensis
GCF_014637175.1	Compostibacillus humi
GCF_039541075.1	Compostibacter hankyongensis
GCF_002797855.1	Compostimonas suwonensis
GCF_022871025.1	Conchiformibius kuhniae
GCF_014054725.1	Conchiformibius steedae
GCF_014199525.1	Conexibacter arvalis
GCF_033542075.1	Conexibacter stalactiti
GCF_000025265.1	Conexibacter woesei DSM 14684
